"Узел захвата бумаги с тормозной площадкой ML2160","Узел захвата бумаги с тормозной площадкой для samsung ML2160 ML2164 ML2165 Scx3405 M2020 M2021 M2022 M2070.
Один абсолютно новый, другой немного б/у.
Цена за штуку.
Б/У отдам за 400.
Забирать в с. Ломовка.","500","RUB"
"Принтер canon","Продам два принтера. Работоспособность неизвестна. Цена за оба аппарата.","1000","RUB"
"Принтер","Продам принтер, нужны катреджи (старые засохли). Продаю в связи с ненадобностью. Документы есть.","1000","RUB"
"Принтер hp","Принтер рабочий, черно-белый (лазерная печать).","1000","RUB"
"Принтер hp","Продам два принтера. Один можно на запчасти.","2000","RUB"
"Цветной принтер","Цветной принтер, в отличном состоянии, продаем потому-что просто перестали пользоватся.","2500","RUB"
"Принтер","Принтер + картриджи.","3000","RUB"
"Принтер HP p2055","Принтер лазерный, ч/б.
Модель p2055dn.
Полностью исправен.","5000","RUB"
"Цветной принтер","Продам цветный струйный принтер HP Ink Tank Wireless 415.

Состояние очень хорошее, обслуженный, краска заправлена, печатает качественно.
Сканер рабочий.","8000","RUB"
"3d принтер dexp MG","Продам 3д принтер пользовался им не много, в комплекте отдам новый экструадер и почти 3кг пластика.","12000","RUB"
"Режущий плоттер armor jack","Продам плоттер armor jack. Мало б/у.","30000","RUB"
"Принтер","Продам принтер на запчасти б/у.","1","RUB"
